scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC10,Region 12,NOₓ emissions,delta_2030_pct,8,-17.806051014968453,-19.52581766491339,-18.493268554826763,-17.03087112105062,-16.160420330205465,-19.75784575462656,-15.881531528790058,1.0,True,3.365397334707925
SC10,Region 12,PM₂.₅ emissions,delta_mean_pct,8,-19.525970721299,-20.21971825068993,-19.884291500579053,-19.262638178825643,-18.805849956526004,-20.278646788631537,-18.601233416797182,1.0,True,1.4138682941639225
SC10,Region 12,PM₂.₅ emissions,delta_2030_pct,8,-30.68355152392894,-31.82261843580551,-31.29496343850747,-30.252208688324018,-29.71760899478534,-31.88240462736968,-29.44540162536292,1.0,True,2.1050094410201687
SC10,Region 12,Time loss (car),delta_mean_pct,8,-13.880342538532192,-16.08153939297594,-15.753775564259298,-11.91493739812987,-11.876841969711617,-16.203180775384812,-11.872941308422972,1.0,True,4.204697423264324
SC10,Region 12,Time loss (car),delta_2030_pct,8,-17.39867107427147,-20.02346898772671,-19.462473240744224,-14.945181624504183,-14.604864494474864,-20.100891069277477,-14.59553781104599,1.0,True,5.418604493251845
SC10,Region 12,PCE-weighted VKT,delta_mean_pct,8,-4.9254420126421845,-5.629874532822032,-5.577999272814408,-4.2576333002681706,-4.021388214893083,-5.646087968690193,-3.917360217785487,1.0,True,1.608486317928949
SC10,Region 12,PCE-weighted VKT,delta_2030_pct,8,-5.3510829727719855,-6.196850532406951,-6.106005421853895,-4.703435900105844,-4.480327147767307,-6.213752645438673,-4.404610921734895,1.0,True,1.7165233846396442
SC10,Tehran,CO₂ emissions,delta_mean_pct,8,-5.54403810354198,-6.753601497526622,-5.996798058316216,-4.822374371760057,-4.334650614715746,-6.878976860558587,-4.266687128011411,1.0,True,2.418950882810877
SC10,Tehran,CO₂ emissions,delta_2030_pct,8,-7.9373084455906735,-9.632120327405469,-8.706299592004315,-6.76712739507134,-6.074237952282823,-9.817722207745142,-5.988598680992992,1.0,True,3.5578823751226443
SC10,Tehran,Congestion index,delta_mean_pct,8,-5.687897815207426,-6.978485761823343,-6.657234918387567,-4.7314167339983495,-4.546548090044447,-7.131844915751807,-4.465412931493333,1.0,True,2.431937671778896
SC10,Tehran,Congestion index,delta_2030_pct,8,-7.743839368759876,-9.370440999563698,-8.800196197262817,-6.360316677241112,-6.012078326939547,-9.587025970159663,-5.904509614145684,1.0,True,3.3583626726241507
SC10,Tehran,Electricity use,delta_mean_pct,8,33.54571129348637,32.77038313259152,33.09142189465811,33.80885021120265,34.30107492448609,32.71147685941882,34.54319238873862,1.0,True,1.5306917918945686
SC10,Tehran,Electricity use,delta_2030_pct,8,36.913114302906806,35.733074307579145,36.62634126160194,37.18483315690418,38.64915158971235,35.35492062915724,39.43151849833219,1.0,True,2.916077282133209
SC10,Tehran,Final energy,delta_mean_pct,8,-6.46393510273679,-7.772739626400893,-7.199149052062064,-5.521072184287116,-5.162851976265649,-7.902656127876264,-5.092663591334303,1.0,True,2.609887650135245
SC10,Tehran,Final energy,delta_2030_pct,8,-9.25302800795336,-10.996410088462447,-10.117756765427814,-7.702957415380309,-7.15535718182662,-11.179132618480804,-7.074532964190446,1.0,True,3.841052906635829
SC10,Tehran,Health indicator,delta_mean_pct,8,-4.033423964019402,-4.6642229587513855,-4.423010068460457,-3.546082885672907,-3.398231762989395,-4.74851991424867,-3.338257023119965,1.0,True,1.2659911957619905
SC10,Tehran,Health indicator,delta_2030_pct,8,-6.151221735121199,-7.0994738299715054,-6.663363847439789,-5.326190501353775,-5.061396685764279,-7.23160751668509,-4.975370528832299,1.0,True,2.038077144207227
SC10,Tehran,Modal share: car,delta_mean_pct,8,-9.03843787452906,-10.941469465196317,-10.224906960028797,-7.557311059203113,-7.116249543733379,-11.136964976942922,-7.009675678320572,1.0,True,3.825219921462936
SC10,Tehran,Modal share: car,delta_2030_pct,8,-10.731392086770594,-12.871258540947077,-11.94131350028558,-8.784842704368861,-8.214113386425549,-13.116702380184568,-8.092517404684234,1.0,True,4.657145154521528
SC10,Tehran,Modal share: public transport,delta_mean_pct,8,41.574827634561245,38.54541076759672,41.20556737672019,43.31175908007447,48.43867585287306,37.25604540514136,49.3410736743046,1.0,True,9.893265085276347
SC10,Tehran,Modal share: public transport,delta_2030_pct,8,46.80144481243472,43.190057743715805,46.45133027021948,49.83160379726603,54.57727656805068,41.646908635416416,55.65484083842649,1.0,True,11.387218824334871
SC10,Tehran,NOₓ emissions,delta_mean_pct,8,-7.838727532959061,-9.238231630381346,-8.80510781582407,-6.739372296893517,-6.488618940597876,-9.375438520786677,-6.402241718453845,1.0,True,2.7496126897834703
