year,area,scenario,mode,value,series
2016,Region12,s0,metro,0.187204823558408,sim
2017,Region12,s0,metro,0.1880477977327962,sim
2018,Region12,s0,metro,0.1868500749774932,sim
2019,Region12,s0,metro,0.1848429075754832,sim
2020,Region12,s0,metro,0.1791312555471169,sim
2021,Region12,s0,metro,0.1900456126591307,sim
2022,Region12,s0,metro,0.2230855422785014,sim
2023,Region12,s0,metro,0.2517063498665917,sim
2024,Region12,s0,metro,0.2492902273009156,sim
2025,Region12,s0,metro,0.242874015469255,sim
2026,Region12,s0,metro,0.2393875402781015,sim
2027,Region12,s0,metro,0.2350062775348306,sim
2028,Region12,s0,metro,0.2318046638831832,sim
2029,Region12,s0,metro,0.2306655785998527,sim
2030,Region12,s0,metro,0.2307190974564868,sim
2012,Region12,s1,metro,0.152,sim
2013,Region12,s1,metro,0.1899628008742728,sim
2014,Region12,s1,metro,0.1831417820460008,sim
2015,Region12,s1,metro,0.1841563637228131,sim
2016,Region12,s1,metro,0.187204823558408,sim
2017,Region12,s1,metro,0.1880477977327962,sim
2018,Region12,s1,metro,0.1868500749774932,sim
2019,Region12,s1,metro,0.1848429075754832,sim
2020,Region12,s1,metro,0.1791312555471169,sim
2021,Region12,s1,metro,0.1900456126591307,sim
2022,Region12,s1,metro,0.2230855422785014,sim
2023,Region12,s1,metro,0.2517063498665917,sim
2024,Region12,s1,metro,0.2492902273009156,sim
2025,Region12,s1,metro,0.242874015469255,sim
2026,Region12,s1,metro,0.2403571613564133,sim
2027,Region12,s1,metro,0.2362443260242379,sim
2028,Region12,s1,metro,0.2337387535114152,sim
2029,Region12,s1,metro,0.2327962288799746,sim
2030,Region12,s1,metro,0.2333824965840469,sim
2012,Region12,s10,metro,0.152,sim
2013,Region12,s10,metro,0.1899628008742728,sim
2014,Region12,s10,metro,0.1831417820460008,sim
2015,Region12,s10,metro,0.1841563637228131,sim
2016,Region12,s10,metro,0.187204823558408,sim
2017,Region12,s10,metro,0.1880477977327962,sim
2018,Region12,s10,metro,0.1868500749774932,sim
2019,Region12,s10,metro,0.1848429075754832,sim
2020,Region12,s10,metro,0.1791312555471169,sim
2021,Region12,s10,metro,0.1900456126591307,sim
2022,Region12,s10,metro,0.2230855422785014,sim
2023,Region12,s10,metro,0.2517063498665917,sim
2024,Region12,s10,metro,0.2743834465649618,sim
2025,Region12,s10,metro,0.2724015598543995,sim
2026,Region12,s10,metro,0.2704327454326001,sim
2027,Region12,s10,metro,0.2667724202094302,sim
2028,Region12,s10,metro,0.2629638333886015,sim
2029,Region12,s10,metro,0.2612113928912455,sim
2030,Region12,s10,metro,0.2612271267403032,sim
2012,Region12,s11,metro,0.152,sim
2013,Region12,s11,metro,0.1899628008742728,sim
2014,Region12,s11,metro,0.1831417820460008,sim
2015,Region12,s11,metro,0.1841563637228131,sim
2016,Region12,s11,metro,0.187204823558408,sim
2017,Region12,s11,metro,0.1880477977327962,sim
2018,Region12,s11,metro,0.1868500749774932,sim
2019,Region12,s11,metro,0.1848429075754832,sim
2020,Region12,s11,metro,0.1791312555471169,sim
2021,Region12,s11,metro,0.1900456126591307,sim
2022,Region12,s11,metro,0.2230855422785014,sim
2023,Region12,s11,metro,0.2517063498665917,sim
2024,Region12,s11,metro,0.2620969253967977,sim
2025,Region12,s11,metro,0.2562510515396518,sim
2026,Region12,s11,metro,0.255285634742072,sim
2027,Region12,s11,metro,0.2520055908906378,sim
2028,Region12,s11,metro,0.2515060545136518,sim
2029,Region12,s11,metro,0.2515594555053469,sim
2030,Region12,s11,metro,0.2532048236097962,sim
2012,Region12,s2,metro,0.152,sim
2013,Region12,s2,metro,0.1899628008742728,sim
2014,Region12,s2,metro,0.1831417820460008,sim
2015,Region12,s2,metro,0.1841563637228131,sim
2016,Region12,s2,metro,0.187204823558408,sim
2017,Region12,s2,metro,0.1880477977327962,sim
2018,Region12,s2,metro,0.1868500749774932,sim
2019,Region12,s2,metro,0.1848429075754832,sim
2020,Region12,s2,metro,0.1791312555471169,sim
2021,Region12,s2,metro,0.1900456126591307,sim
2022,Region12,s2,metro,0.2230855422785014,sim
2023,Region12,s2,metro,0.2517063498665917,sim
