Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC0,2029,Region 12,0.0,0.0,pct,Modal share: public transport
SC0,2030,Region 12,0.0,0.0,pct,Modal share: public transport
SC1,2024,Region 12,0.0,0.0,pct,Modal share: public transport
SC1,2025,Region 12,0.0,0.0,pct,Modal share: public transport
SC1,2026,Region 12,0.5653907971409919,0.5653907971409919,pct,Modal share: public transport
SC1,2027,Region 12,0.5673133911077989,0.5673133911077989,pct,Modal share: public transport
SC1,2028,Region 12,0.9451079480064863,0.9451079480064863,pct,Modal share: public transport
SC1,2029,Region 12,0.9508189857474564,0.9508189857474564,pct,Modal share: public transport
SC1,2030,Region 12,1.2356973284091484,1.2356973284091484,pct,Modal share: public transport
SC10,2024,Region 12,13.610963449296296,13.610963449296296,pct,Modal share: public transport
SC10,2025,Region 12,12.620226797099058,12.620226797099058,pct,Modal share: public transport
SC10,2026,Region 12,13.21673802951423,13.21673802951423,pct,Modal share: public transport
SC10,2027,Region 12,13.89663956788344,13.89663956788344,pct,Modal share: public transport
SC10,2028,Region 12,13.8015749066104,13.8015749066104,pct,Modal share: public transport
SC10,2029,Region 12,13.530986511217035,13.530986511217035,pct,Modal share: public transport
SC10,2030,Region 12,13.590202969673278,13.590202969673278,pct,Modal share: public transport
SC11,2024,Region 12,7.454702940689161,7.454702940689161,pct,Modal share: public transport
SC11,2025,Region 12,6.10067569794108,6.10067569794108,pct,Modal share: public transport
SC11,2026,Region 12,8.12075759434,8.12075759434,pct,Modal share: public transport
SC11,2027,Region 12,8.719092683136958,8.719092683136958,pct,Modal share: public transport
SC11,2028,Region 12,10.656807516934826,10.656807516934826,pct,Modal share: public transport
SC11,2029,Region 12,10.920317452824289,10.920317452824289,pct,Modal share: public transport
SC11,2030,Region 12,11.81488670457171,11.81488670457171,pct,Modal share: public transport
SC2,2024,Region 12,0.0,0.0,pct,Modal share: public transport
SC2,2025,Region 12,0.0,0.0,pct,Modal share: public transport
SC2,2026,Region 12,1.189876222549895,1.189876222549895,pct,Modal share: public transport
